kind,scenario,n,effect,method,rejection_rate,R,mc_error,B,alpha,target_R,completed
alternative,A1_shift,100,1,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,100,1,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,100,1,HSIC standardized multi-scale,0.986,500,0.005254331546,499,0.05,500,true
alternative,A1_shift,100,1,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,100,1,naive Euclidean-angle HSIC anti-example,0.994,500,0.003453693675,499,0.05,500,true
alternative,A1_shift,100,2,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,100,2,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,100,2,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,100,2,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,100,2,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,100,4,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,100,4,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,100,4,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,100,4,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,100,4,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,100,8,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,100,8,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,100,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,100,8,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,100,8,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,200,1,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,200,1,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,200,1,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,200,1,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,200,1,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,200,2,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,200,2,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,200,2,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,200,2,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,200,2,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,200,4,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,200,4,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,200,4,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,200,4,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,200,4,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,200,8,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,200,8,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,200,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,200,8,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,200,8,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,50,1,HSIC fixed,0.966,500,0.008104813385,499,0.05,500,true
alternative,A1_shift,50,1,HSIC median,0.974,500,0.007116740827,499,0.05,500,true
alternative,A1_shift,50,1,HSIC standardized multi-scale,0.642,500,0.02143996269,499,0.05,500,true
alternative,A1_shift,50,1,first-order trigonometric moment diagnostic,0.98,500,0.006260990337,499,0.05,500,true
alternative,A1_shift,50,1,naive Euclidean-angle HSIC anti-example,0.854,500,0.01579139006,499,0.05,500,true
alternative,A1_shift,50,2,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,50,2,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,50,2,HSIC standardized multi-scale,0.994,500,0.003453693675,499,0.05,500,true
alternative,A1_shift,50,2,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,50,2,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,50,4,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,50,4,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,50,4,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,50,4,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,50,4,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A1_shift,50,8,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A1_shift,50,8,HSIC median,1,500,0,499,0.05,500,true
alternative,A1_shift,50,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A1_shift,50,8,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A1_shift,50,8,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,1,HSIC fixed,0.978,500,0.006559878048,499,0.05,500,true
alternative,A2_double_angle,100,1,HSIC median,0.24,500,0.01909973822,499,0.05,500,true
alternative,A2_double_angle,100,1,HSIC standardized multi-scale,0.962,500,0.008550555538,499,0.05,500,true
alternative,A2_double_angle,100,1,first-order trigonometric moment diagnostic,0.026,500,0.007116740827,499,0.05,500,true
alternative,A2_double_angle,100,1,naive Euclidean-angle HSIC anti-example,0.228,500,0.01876251582,499,0.05,500,true
alternative,A2_double_angle,100,2,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,2,HSIC median,0.93,500,0.01141052146,499,0.05,500,true
alternative,A2_double_angle,100,2,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,2,first-order trigonometric moment diagnostic,0.044,500,0.009172131704,499,0.05,500,true
alternative,A2_double_angle,100,2,naive Euclidean-angle HSIC anti-example,0.666,500,0.02109236829,499,0.05,500,true
alternative,A2_double_angle,100,4,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,4,HSIC median,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,4,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,4,first-order trigonometric moment diagnostic,0.064,500,0.01094568408,499,0.05,500,true
alternative,A2_double_angle,100,4,naive Euclidean-angle HSIC anti-example,0.932,500,0.01125841907,499,0.05,500,true
alternative,A2_double_angle,100,8,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,8,HSIC median,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A2_double_angle,100,8,first-order trigonometric moment diagnostic,0.046,500,0.009368457717,499,0.05,500,true
alternative,A2_double_angle,100,8,naive Euclidean-angle HSIC anti-example,0.986,500,0.005254331546,499,0.05,500,true
alternative,A2_double_angle,200,1,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A2_double_angle,200,1,HSIC median,0.762,500,0.01904499934,499,0.05,500,true
alternative,A2_double_angle,200,1,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A2_double_angle,200,1,first-order trigonometric moment diagnostic,0.048,500,0.009559916318,499,0.05,500,true
alternative,A2_double_angle,200,1,naive Euclidean-angle HSIC anti-example,0.52,500,0.02234278407,499,0.05,500,true
alternative,A2_double_angle,200,2,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A2_double_angle,200,2,HSIC median,1,500,0,499,0.05,500,true
alternative,A2_double_angle,200,2,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A2_double_angle,200,2,first-order trigonometric moment diagnostic,0.056,500,0.01028241217,499,0.05,500,true
alternative,A2_double_angle,200,2,naive Euclidean-angle HSIC anti-example,0.976,500,0.006844559884,499,0.05,500,true
alternative,A2_double_angle,200,4,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A2_double_angle,200,4,HSIC median,1,500,0,499,0.05,500,true
alternative,A2_double_angle,200,4,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A2_double_angle,200,4,first-order trigonometric moment diagnostic,0.076,500,0.0118510759,499,0.05,500,true
alternative,A2_double_angle,200,4,naive Euclidean-angle HSIC anti-example,0.998,500,0.001997998999,499,0.05,500,true
alternative,A2_double_angle,200,8,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A2_double_angle,200,8,HSIC median,1,500,0,499,0.05,500,true
alternative,A2_double_angle,200,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A2_double_angle,200,8,first-order trigonometric moment diagnostic,0.05,500,0.009746794345,499,0.05,500,true
alternative,A2_double_angle,200,8,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A2_double_angle,50,1,HSIC fixed,0.678,500,0.02089574119,499,0.05,500,true
alternative,A2_double_angle,50,1,HSIC median,0.12,500,0.0145327217,499,0.05,500,true
alternative,A2_double_angle,50,1,HSIC standardized multi-scale,0.596,500,0.02194465766,499,0.05,500,true
alternative,A2_double_angle,50,1,first-order trigonometric moment diagnostic,0.056,500,0.01028241217,499,0.05,500,true
alternative,A2_double_angle,50,1,naive Euclidean-angle HSIC anti-example,0.162,500,0.01647762119,499,0.05,500,true
alternative,A2_double_angle,50,2,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A2_double_angle,50,2,HSIC median,0.344,500,0.02124448164,499,0.05,500,true
alternative,A2_double_angle,50,2,HSIC standardized multi-scale,0.998,500,0.001997998999,499,0.05,500,true
alternative,A2_double_angle,50,2,first-order trigonometric moment diagnostic,0.048,500,0.009559916318,499,0.05,500,true
alternative,A2_double_angle,50,2,naive Euclidean-angle HSIC anti-example,0.32,500,0.0208614477,499,0.05,500,true
alternative,A2_double_angle,50,4,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A2_double_angle,50,4,HSIC median,0.658,500,0.02121490042,499,0.05,500,true
alternative,A2_double_angle,50,4,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A2_double_angle,50,4,first-order trigonometric moment diagnostic,0.062,500,0.01078480412,499,0.05,500,true
alternative,A2_double_angle,50,4,naive Euclidean-angle HSIC anti-example,0.542,500,0.02228165164,499,0.05,500,true
alternative,A2_double_angle,50,8,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A2_double_angle,50,8,HSIC median,0.844,500,0.01622738426,499,0.05,500,true
alternative,A2_double_angle,50,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A2_double_angle,50,8,first-order trigonometric moment diagnostic,0.06,500,0.01062073444,499,0.05,500,true
alternative,A2_double_angle,50,8,naive Euclidean-angle HSIC anti-example,0.716,500,0.02016650689,499,0.05,500,true
alternative,A3_axial,100,1,HSIC fixed,0.036,500,0.00833114638,499,0.05,500,true
alternative,A3_axial,100,1,HSIC median,0.034,500,0.008104813385,499,0.05,500,true
alternative,A3_axial,100,1,HSIC standardized multi-scale,0.068,500,0.01125841907,499,0.05,500,true
alternative,A3_axial,100,1,first-order trigonometric moment diagnostic,0.036,500,0.00833114638,499,0.05,500,true
alternative,A3_axial,100,1,naive Euclidean-angle HSIC anti-example,0.038,500,0.008550555538,499,0.05,500,true
alternative,A3_axial,100,2,HSIC fixed,0.2,500,0.01788854382,499,0.05,500,true
alternative,A3_axial,100,2,HSIC median,0.066,500,0.01110351296,499,0.05,500,true
alternative,A3_axial,100,2,HSIC standardized multi-scale,0.416,500,0.02204286733,499,0.05,500,true
alternative,A3_axial,100,2,first-order trigonometric moment diagnostic,0.056,500,0.01028241217,499,0.05,500,true
alternative,A3_axial,100,2,naive Euclidean-angle HSIC anti-example,0.054,500,0.01010781876,499,0.05,500,true
alternative,A3_axial,100,4,HSIC fixed,0.922,500,0.01199299796,499,0.05,500,true
alternative,A3_axial,100,4,HSIC median,0.074,500,0.01170675019,499,0.05,500,true
alternative,A3_axial,100,4,HSIC standardized multi-scale,0.996,500,0.002822764602,499,0.05,500,true
alternative,A3_axial,100,4,first-order trigonometric moment diagnostic,0.054,500,0.01010781876,499,0.05,500,true
alternative,A3_axial,100,4,naive Euclidean-angle HSIC anti-example,0.1,500,0.01341640786,499,0.05,500,true
alternative,A3_axial,100,8,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A3_axial,100,8,HSIC median,0.106,500,0.01376691687,499,0.05,500,true
alternative,A3_axial,100,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A3_axial,100,8,first-order trigonometric moment diagnostic,0.072,500,0.0115599308,499,0.05,500,true
alternative,A3_axial,100,8,naive Euclidean-angle HSIC anti-example,0.14,500,0.01551773179,499,0.05,500,true
alternative,A3_axial,200,1,HSIC fixed,0.07,500,0.01141052146,499,0.05,500,true
alternative,A3_axial,200,1,HSIC median,0.05,500,0.009746794345,499,0.05,500,true
alternative,A3_axial,200,1,HSIC standardized multi-scale,0.118,500,0.01442747379,499,0.05,500,true
alternative,A3_axial,200,1,first-order trigonometric moment diagnostic,0.044,500,0.009172131704,499,0.05,500,true
alternative,A3_axial,200,1,naive Euclidean-angle HSIC anti-example,0.064,500,0.01094568408,499,0.05,500,true
alternative,A3_axial,200,2,HSIC fixed,0.5,500,0.02236067977,499,0.05,500,true
alternative,A3_axial,200,2,HSIC median,0.048,500,0.009559916318,499,0.05,500,true
alternative,A3_axial,200,2,HSIC standardized multi-scale,0.85,500,0.01596871942,499,0.05,500,true
alternative,A3_axial,200,2,first-order trigonometric moment diagnostic,0.04,500,0.00876356092,499,0.05,500,true
alternative,A3_axial,200,2,naive Euclidean-angle HSIC anti-example,0.056,500,0.01028241217,499,0.05,500,true
alternative,A3_axial,200,4,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A3_axial,200,4,HSIC median,0.088,500,0.01266933305,499,0.05,500,true
alternative,A3_axial,200,4,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A3_axial,200,4,first-order trigonometric moment diagnostic,0.06,500,0.01062073444,499,0.05,500,true
alternative,A3_axial,200,4,naive Euclidean-angle HSIC anti-example,0.128,500,0.01494095044,499,0.05,500,true
alternative,A3_axial,200,8,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A3_axial,200,8,HSIC median,0.124,500,0.01473933513,499,0.05,500,true
alternative,A3_axial,200,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A3_axial,200,8,first-order trigonometric moment diagnostic,0.058,500,0.01045332483,499,0.05,500,true
alternative,A3_axial,200,8,naive Euclidean-angle HSIC anti-example,0.194,500,0.01768411717,499,0.05,500,true
alternative,A3_axial,50,1,HSIC fixed,0.062,500,0.01078480412,499,0.05,500,true
alternative,A3_axial,50,1,HSIC median,0.06,500,0.01062073444,499,0.05,500,true
alternative,A3_axial,50,1,HSIC standardized multi-scale,0.066,500,0.01110351296,499,0.05,500,true
alternative,A3_axial,50,1,first-order trigonometric moment diagnostic,0.062,500,0.01078480412,499,0.05,500,true
alternative,A3_axial,50,1,naive Euclidean-angle HSIC anti-example,0.054,500,0.01010781876,499,0.05,500,true
alternative,A3_axial,50,2,HSIC fixed,0.098,500,0.01329631528,499,0.05,500,true
alternative,A3_axial,50,2,HSIC median,0.052,500,0.009929350432,499,0.05,500,true
alternative,A3_axial,50,2,HSIC standardized multi-scale,0.148,500,0.01588055415,499,0.05,500,true
alternative,A3_axial,50,2,first-order trigonometric moment diagnostic,0.044,500,0.009172131704,499,0.05,500,true
alternative,A3_axial,50,2,naive Euclidean-angle HSIC anti-example,0.042,500,0.008970618708,499,0.05,500,true
alternative,A3_axial,50,4,HSIC fixed,0.418,500,0.02205792375,499,0.05,500,true
alternative,A3_axial,50,4,HSIC median,0.056,500,0.01028241217,499,0.05,500,true
alternative,A3_axial,50,4,HSIC standardized multi-scale,0.724,500,0.01999119806,499,0.05,500,true
alternative,A3_axial,50,4,first-order trigonometric moment diagnostic,0.06,500,0.01062073444,499,0.05,500,true
alternative,A3_axial,50,4,naive Euclidean-angle HSIC anti-example,0.068,500,0.01125841907,499,0.05,500,true
alternative,A3_axial,50,8,HSIC fixed,0.876,500,0.01473933513,499,0.05,500,true
alternative,A3_axial,50,8,HSIC median,0.07,500,0.01141052146,499,0.05,500,true
alternative,A3_axial,50,8,HSIC standardized multi-scale,0.984,500,0.005611416933,499,0.05,500,true
alternative,A3_axial,50,8,first-order trigonometric moment diagnostic,0.058,500,0.01045332483,499,0.05,500,true
alternative,A3_axial,50,8,naive Euclidean-angle HSIC anti-example,0.078,500,0.01199299796,499,0.05,500,true
alternative,A4_multimodal,100,1,HSIC fixed,0.052,500,0.009929350432,499,0.05,500,true
alternative,A4_multimodal,100,1,HSIC median,0.042,500,0.008970618708,499,0.05,500,true
alternative,A4_multimodal,100,1,HSIC standardized multi-scale,0.054,500,0.01010781876,499,0.05,500,true
alternative,A4_multimodal,100,1,first-order trigonometric moment diagnostic,0.044,500,0.009172131704,499,0.05,500,true
alternative,A4_multimodal,100,1,naive Euclidean-angle HSIC anti-example,0.06,500,0.01062073444,499,0.05,500,true
alternative,A4_multimodal,100,2,HSIC fixed,0.052,500,0.009929350432,499,0.05,500,true
